,date,symbol,volume,start,stop,initial_imb,paired_imb,direction,open_price,spread_at_open,close_price,moc_close_price,close_status,spread_at_close,max_pnl_time,max_pnl_price,min_pnl_time,min_pnl_price,position_size,reverse_count,imbBeforeReversePct,imbAfterReversePct,deltaImbPct,delta_move,delta_move_pct,position_pnl
58,2020-11-20,HAL,14063018,2020-11-20 15:55:00,2020-11-20 15:56:00,192570,725059,Short,15.92,0.009999999999999787,15.91,,market,0.009999999999999787,2020-11-20 15:55:00.243734,15.91,2020-11-20 15:55:00.242711,15.92,2900.0,1,1.3693362264060247,-0.15106287995933732,-1.5203991063653621,0.009999999999999787,0.06281407035175746,28.999999999999382
59,2020-11-20,HBI,5985180,2020-11-20 15:55:00,2020-11-20 15:56:00,195718,403144,Short,13.63,0.009999999999999787,13.63,,market,0.010000000000001563,2020-11-20 15:55:00.246028,13.63,2020-11-20 15:55:00.245629,13.64,3221.0,1,3.270043674542787,-0.057675792540909376,-3.3277194670836967,0.0,0.0,0.0
60,2020-11-20,HD,3470619,2020-11-20 15:55:00,2020-11-20 15:56:00,-36192,764358,Long,270.02,0.0999999999999659,269.78,,market,0.060000000000002274,2020-11-20 15:55:01.001147,269.95,2020-11-20 15:55:44.174995,269.67,100.0,1,-1.0428110950813096,0.40839976960882196,1.4512108646901316,-0.2400000000000091,-0.08888230501444674,-24.00000000000091
61,2020-11-20,HLT,2819014,2020-11-20 15:59:24,2020-11-20 16:00:00,-81395,508576,Long,101.56,0.10999999999999943,101.67,101.76,moc,0.0,2020-11-20 15:59:39.382125,101.78,2020-11-20 15:59:24.115666,101.51,177.0,1,-2.8873570688190977,1.1705511217752023,4.0579081905943,0.20000000000000284,0.19692792437967982,35.4000000000005
62,2020-11-20,HMY,5034678,2020-11-20 15:55:00,2020-11-20 15:56:00,37381,186467,Short,4.64,0.010000000000000675,4.65,,market,0.010000000000000675,2020-11-20 15:55:01.188719,4.65,2020-11-20 15:55:01.188719,4.65,10775.862068965518,1,0.7424705214514216,-1.2460181167494724,-1.988488638200894,-0.010000000000000675,-0.2155172413793249,-107.75862068966245
63,2020-11-20,HWM,3208416,2020-11-20 15:55:07,2020-11-20 15:56:07,-61966,272971,Long,23.93,0.00999999999999801,23.9,,market,0.010000000000001563,2020-11-20 15:55:07.416213,23.92,2020-11-20 15:56:05.714376,23.9,2089.4274968658588,1,-1.9313580283853466,1.002488455362397,2.9338464837477436,-0.030000000000001137,-0.12536564981195628,-62.68282490597814
64,2020-11-20,IAG,4412742,2020-11-20 15:57:05,2020-11-20 15:58:05,-79335,339480,Long,3.41,0.010000000000000231,3.4,,market,0.010000000000000231,2020-11-20 15:57:06.228034,3.4,2020-11-20 15:57:06.228034,3.4,14662.756598240469,1,-1.7978617376678718,3.2239591618997894,5.021820899567661,-0.010000000000000231,-0.2932551319648161,-146.62756598240807
65,2020-11-20,IBM,6366553,2020-11-20 15:59:24,2020-11-20 16:00:00,-98934,735478,Long,116.85,0.01999999999999602,116.83,116.94,moc,0.0,2020-11-20 15:59:31.114474,116.92,2020-11-20 15:59:46.202230,116.79,427.8990158322636,1,-1.553964916336988,0.5968221736314768,2.150787089968465,0.09000000000000341,0.07702182284981036,38.51091142490518
66,2020-11-20,IP,3126370,2020-11-20 15:59:15,2020-11-20 16:00:00,314251,756930,Short,49.54,0.020000000000003126,49.44,49.43,moc,0.0,2020-11-20 15:59:26.263853,49.41,2020-11-20 15:59:15.264004,49.51,800.0,1,10.051625367438914,-3.8662410399280955,-13.91786640736701,0.10999999999999943,0.2220427937020578,87.99999999999955
67,2020-11-20,IVZ,5638851,2020-11-20 15:58:31,2020-11-20 15:59:31,-193732,577670,Long,15.72,0.009999999999999787,15.8,,market,0.009999999999999787,2020-11-20 15:59:21.220947,15.81,2020-11-20 15:58:31.249532,15.71,3180.6615776081426,1,-3.435664464267632,13.350024677013101,16.785689141280734,0.08000000000000007,0.5089058524173032,254.45292620865163
